2025-08-27 06:51:47,705 INFO    MainThread:2229461 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_setup.py:_flush():80] Configure stats pid to 2229461
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_setup.py:_flush():80] Loading settings from /home/nlplab/.config/wandb/settings
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_setup.py:_flush():80] Loading settings from /media/nlplab/hdd1/hclt_ss/grpo/wandb/settings
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /media/nlplab/hdd1/hclt_ss/grpo/wandb/run-20250827_065147-e2e38f3e/logs/debug.log
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /media/nlplab/hdd1/hclt_ss/grpo/wandb/run-20250827_065147-e2e38f3e/logs/debug-internal.log
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_init.py:init():830] calling init triggers
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-08-27 06:51:47,706 INFO    MainThread:2229461 [wandb_init.py:init():871] starting backend
2025-08-27 06:51:47,912 INFO    MainThread:2229461 [wandb_init.py:init():874] sending inform_init request
2025-08-27 06:51:47,916 INFO    MainThread:2229461 [wandb_init.py:init():882] backend started and connected
2025-08-27 06:51:47,918 INFO    MainThread:2229461 [wandb_init.py:init():953] updated telemetry
2025-08-27 06:51:47,920 INFO    MainThread:2229461 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-27 06:51:48,796 INFO    MainThread:2229461 [wandb_init.py:init():1029] starting run threads in backend
2025-08-27 06:51:48,863 INFO    MainThread:2229461 [wandb_run.py:_console_start():2458] atexit reg
2025-08-27 06:51:48,863 INFO    MainThread:2229461 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-27 06:51:48,863 INFO    MainThread:2229461 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-27 06:51:48,863 INFO    MainThread:2229461 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-27 06:51:48,864 INFO    MainThread:2229461 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-27 06:51:55,159 INFO    MsgRouterThr:2229461 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
